	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[3]	16	0.3208	0.1744	0.5772	0.7660	0.2879	0.4923	55.4983	0.1982	
nMMSBM_[3]	17	0.3217	0.1754	0.5790	0.7669	0.2895	0.4938	55.8335	0.1994	
nMMSBM_[3]	18	0.3216	0.1765	0.5784	0.7646	0.2886	0.4933	55.7174	0.1990	
nMMSBM_[3]	19	0.3223	0.1754	0.5797	0.7651	0.2881	0.4936	55.8793	0.1996	
nMMSBM_[3]	20	0.3225	0.1758	0.5781	0.7671	0.2897	0.4931	55.1821	0.1971	
nMMSBM_[3]	21	0.3222	0.1866	0.5782	0.7677	0.2896	0.4938	55.4426	0.1980	
nMMSBM_[3]	22	0.3232	0.1866	0.5785	0.7670	0.2910	0.4937	55.7182	0.1990	
nMMSBM_[3]	23	0.3229	0.1896	0.5794	0.7672	0.2895	0.4946	55.6931	0.1989	
nMMSBM_[3]	24	0.3217	0.1842	0.5794	0.7673	0.2903	0.4946	55.3170	0.1976	
nMMSBM_[3]	25	0.3229	0.1888	0.5790	0.7668	0.2907	0.4943	55.4710	0.1981	
nMMSBM_[3]	26	0.3229	0.1891	0.5790	0.7668	0.2903	0.4936	55.5351	0.1983	
nMMSBM_[3]	27	0.3220	0.1755	0.5798	0.7641	0.2892	0.4928	55.2274	0.1972	
nMMSBM_[3]	28	0.3203	0.1867	0.5762	0.7651	0.2892	0.4918	55.5686	0.1985	
nMMSBM_[3]	29	0.3207	0.1868	0.5796	0.7668	0.2882	0.4931	55.1226	0.1969	
nMMSBM_[3]	30	0.3230	0.1896	0.5790	0.7657	0.2890	0.4941	55.6904	0.1989	
nMMSBM_[3]	31	0.3238	0.1745	0.5793	0.7667	0.2894	0.4939	55.4414	0.1980	
nMMSBM_[3]	32	0.3199	0.1735	0.5793	0.7656	0.2885	0.4935	55.4564	0.1981	
nMMSBM_[3]	33	0.3223	0.1876	0.5796	0.7682	0.2903	0.4947	55.1245	0.1969	
nMMSBM_[3]	34	0.3220	0.1875	0.5797	0.7675	0.2899	0.4934	55.7191	0.1990	
nMMSBM_[3]	35	0.3212	0.1756	0.5785	0.7668	0.2890	0.4936	55.5285	0.1983	
nMMSBM_[3]	36	0.3242	0.1870	0.5786	0.7660	0.2892	0.4939	55.8921	0.1996	
