	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[3]	13	0.3260	0.3133	0.3166	0.7432	0.2631	0.4339	73.9321	0.0999	
nMMSBM_[3]	14	0.3272	0.3153	0.3234	0.7457	0.2673	0.4400	69.4697	0.0939	
nMMSBM_[3]	15	0.3259	0.3146	0.3225	0.7436	0.2667	0.4380	78.5612	0.1062	
nMMSBM_[3]	16	0.3223	0.3090	0.3201	0.7351	0.2588	0.4338	76.2873	0.1031	
nMMSBM_[3]	17	0.3206	0.3063	0.3164	0.7241	0.2577	0.4350	76.0765	0.1028	
nMMSBM_[3]	18	0.3240	0.3129	0.3235	0.7447	0.2656	0.4406	74.2305	0.1003	
nMMSBM_[3]	19	0.3286	0.3137	0.3241	0.7443	0.2675	0.4405	83.8851	0.1134	
nMMSBM_[3]	20	0.3224	0.3084	0.3185	0.7372	0.2570	0.4321	81.3214	0.1099	
nMMSBM_[3]	21	0.3270	0.3117	0.3196	0.7313	0.2615	0.4350	80.0248	0.1081	
nMMSBM_[3]	22	0.3245	0.3084	0.3213	0.7374	0.2650	0.4390	77.3069	0.1045	
nMMSBM_[3]	23	0.3242	0.3084	0.3209	0.7371	0.2592	0.4350	83.3543	0.1126	
nMMSBM_[3]	24	0.3167	0.3097	0.3207	0.7272	0.2590	0.4353	87.2913	0.1180	
nMMSBM_[3]	25	0.3232	0.3131	0.3238	0.7384	0.2633	0.4391	75.6306	0.1022	
nMMSBM_[3]	26	0.3266	0.3120	0.3194	0.7394	0.2633	0.4340	97.1176	0.1312	
nMMSBM_[3]	27	0.3233	0.3066	0.3219	0.7352	0.2563	0.4361	75.3454	0.1018	
nMMSBM_[3]	28	0.3226	0.3112	0.3226	0.7330	0.2639	0.4383	79.0424	0.1068	
nMMSBM_[3]	29	0.3193	0.3070	0.3213	0.7469	0.2577	0.4370	75.9177	0.1026	
nMMSBM_[3]	30	0.3252	0.3068	0.3211	0.7302	0.2605	0.4352	84.1361	0.1137	
nMMSBM_[3]	31	0.3181	0.3049	0.3153	0.7404	0.2580	0.4330	84.0036	0.1135	
nMMSBM_[3]	32	0.3279	0.3132	0.3254	0.7323	0.2601	0.4405	83.3208	0.1126	
nMMSBM_[3]	33	0.3179	0.3022	0.3199	0.7382	0.2557	0.4364	76.7868	0.1038	
nMMSBM_[3]	34	0.3270	0.3128	0.3235	0.7533	0.2641	0.4380	75.3250	0.1018	
nMMSBM_[3]	35	0.3253	0.3102	0.3230	0.7367	0.2620	0.4372	77.7752	0.1051	
nMMSBM_[3]	36	0.3272	0.3133	0.3218	0.7471	0.2607	0.4389	82.6902	0.1117	
